Run,Well,plate
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_K10.mzML,K10,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_K11.mzML,K11,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_K9.mzML,K9,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_K7.mzML,K7,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_K6.mzML,K6,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_K5.mzML,K5,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_K3.mzML,K3,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_K1.mzML,K1,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_K2.mzML,K2,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I24.mzML,I24,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I23.mzML,I23,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I21.mzML,I21,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I19.mzML,I19,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I22.mzML,I22,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I20.mzML,I20,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I17.mzML,I17,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I18.mzML,I18,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I16.mzML,I16,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I14.mzML,I14,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I15.mzML,I15,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I13.mzML,I13,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I12.mzML,I12,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I11.mzML,I11,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I10.mzML,I10,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I9.mzML,I9,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I8.mzML,I8,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I6.mzML,I6,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I3.mzML,I3,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I7.mzML,I7,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I5.mzML,I5,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I4.mzML,I4,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_I2.mzML,I2,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H24.mzML,H24,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H23.mzML,H23,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H22.mzML,H22,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H21.mzML,H21,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H18.mzML,H18,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H17.mzML,H17,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H20.mzML,H20,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H19.mzML,H19,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H15.mzML,H15,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H11.mzML,H11,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H12.mzML,H12,1
